,Unnamed: 0,X,Y,STATE_NAME,DRAWSEQ,STATE_FIPS,SUB_REGION,STATE_ABBR,Statename,sum(P_total),sum(P_below_middle_school),sum(P_some_high_school),sum(P_high_school_equivalent),sum(P_some_college),sum(P_bachelor_and_above),avg(P_below_poverty),avg(median_age),avg(gini_index),avg(median_household_income),avg(percent_no_internet),Percentage_of_Population
0,0,-155.41377145564698,19.5841066218165,Hawaii,1,15,Pacific,HI,HI,1428462,27209.0,43575.0,277724.0,316915.0,316571.0,32391.0,40.875,0.444625,69966.0,13.4544223445584,0.005229495935374612
1,1,-119.72177349929399,47.27282067548101,Washington,2,53,Pacific,WA,WA,6759932,125685.0,241433.0,1014225.0,1546468.0,1658313.0,37939.7894736842,38.978947368421004,0.433231578947368,59602.052631578896,11.661797146587901,0.024747621509993805
2,2,-109.341420388743,46.679014781729,Montana,3,30,Mountain,MT,MT,626188,2471.0,19000.0,110259.0,137904.0,150859.0,12250.5,38.5833333333333,0.4714166666666671,54076.8333333333,13.787714737713001,0.0022924289206015685
3,3,-69.1627558669746,45.2517924837451,Maine,4,23,New England,ME,ME,942037,7436.0,31419.0,210557.0,200023.0,216792.0,18164.6666666667,43.383333333333304,0.4416833333333329,52368.0,15.101468142476199,0.0034487292363902526
4,4,-100.45330405002399,47.4810782039369,North Dakota,5,38,West North Central,ND,ND,411029,1837.0,11046.0,60895.0,89781.0,92424.0,10666.0,32.375,0.43875,59094.75,10.552045964613,0.0015047474030258357
5,5,-100.25827007344299,44.3687023642894,South Dakota,6,46,West North Central,SD,SD,296690,3495.0,10549.0,50599.0,66495.0,63339.0,17909.0,36.6,0.4504,55494.0,11.283579775832,0.0010861606042486909
6,6,-107.55221500970501,42.8088658683959,Wyoming,7,56,Mountain,WY,WY,179175,830.0,5732.0,35339.0,47614.0,31040.0,8263.0,36.2,0.4131,60847.5,12.179264291381301,0.0006559466994717018
7,7,-90.37569152298059,44.7333167213245,Wisconsin,8,55,East North Central,WI,WI,4404543,50146.0,152672.0,856921.0,917243.0,958058.0,22384.9130434783,39.6086956521739,0.433526086956522,59762.739130434806,14.4585952354984,0.016124712953990164
8,8,-115.480563725071,45.4963286542082,Idaho,9,16,Mountain,ID,ID,1090160,12393.0,40547.0,183143.0,251228.0,213953.0,23569.1666666667,35.1,0.4348333333333329,53474.6666666667,13.8289155022161,0.003990996812591435
9,9,-72.7787706608657,43.841712618763104,Vermont,10,50,New England,VT,VT,161531,1352.0,2924.0,21528.0,25888.0,53549.0,15818.0,37.2,0.4477,68843.0,8.59450876408652,0.0005913532932181581
